country	countrynumber	year	legelec	preselec	regime	regime_leg	eighties	nineties	old	avemag	districts	eneg	enep	enep_others	enep1	enpp	enpp_others	enpp1	enpres	medmag	newdem	proximity1	proximity2	seats	upperseats	uppertier	twoelections	twoelections1
Australia	129	1951	1	0	0	0	0	0	1	1	123	1.1744	2.49	1	2.49	2.56	0	2.56	0	1	0	0	0	123	0	0	0	0
Australia	129	1954	1	0	0	0	0	0	1	1	123	1.1744	2.46	1.7	2.46	2.55	0	2.55	0	1	0	0	0	123	0	0	0	0
Australia	129	1955	1	0	0	0	0	0	1	1	124	1.1744	2.73	1.4	2.735	2.58	0	2.58	0	1	0	0	0	124	0	0	0	0
Australia	129	1958	1	0	0	0	0	0	1	1	124	1.1744	2.97	0.7	2.97	2.59	0	2.59	0	1	0	0	0	124	0	0	0	0
Australia	129	1961	1	0	0	0	0	0	1	1	124	1.1744	2.81	0.9	2.81	2.52	0	2.52	0	1	0	0	0	124	0	0	0	0
Australia	129	1963	1	0	0	0	0	0	1	1	124	1.1744	2.79	0.5	2.79	2.66	0	2.66	0	1	0	0	0	124	0	0	0	0
Australia	129	1966	1	0	0	0	0	0	1	1	124	1.1744	2.98	1.5	2.98	2.63	0.8	2.63	0	1	0	0	0	124	0	0	0	0
Australia	129	1969	1	0	0	0	0	0	1	1	125	1.1744	2.83	2.7	2.83	2.61	0	2.61	0	1	0	0	0	125	0	0	0	0
Australia	129	1972	1	0	0	0	0	0	1	1	125	1.1744	2.77	1.1	2.77	2.47	0	2.47	0	1	0	0	0	125	0	0	0	0
Australia	129	1974	1	0	0	0	0	0	1	1	125	1.1744	2.66	0.4	2.66	2.52	0	2.52	0	1	0	0	0	125	0	0	0	0
Australia	129	1975	1	0	0	0	0	0	1	1	127	1.1744	2.69	1.4	2.7	2.51	0	2.51	0	1	0	0	0	127	0	0	0	0
Australia	129	1977	1	0	0	0	0	0	1	1	124	1.1744	3.11	1.1	3.115	2.45	0	2.45	0	1	0	0	0	124	0	0	0	0
Australia	129	1980	1	0	0	0	0	0	1	1	125	1.1744	2.81	1.3	2.81	2.64	0	2.64	0	1	0	0	0	125	0	0	0	0
Australia	129	1983	1	0	0	0	0	0	1	1	125	1.1744	2.67	1.4	2.67	2.23	0	2.23	0	1	0	0	0	125	0	0	0	0
Australia	129	1984	1	0	0	0	1	0	1	1	148	1.1744	2.79	1.1	2.79	2.38	0	2.38	0	1	0	0	0	148	0	0	0	0
Australia	129	1987	1	0	0	0	0	0	1	1	148	1.1744	2.9	2	3.02	2.28	0	2.28	0	1	0	0	0	148	0	0	0	0
Australia	129	1990	1	0	0	0	0	0	1	1	148	1.1744	3.33	5.9	3.34	2.35	0.7	2.35	0	1	0	0	0	148	0	0	0	0
Australia	129	1993	1	0	0	0	0	0	1	1	147	1.1744	2.87	7.1	2.88	2.38	1.4	2.39	0	1	0	0	0	147	0	0	0	0
Australia	129	1996	1	0	0	0	0	1	1	1	148	1.1744	3.19	4.06	3.21	2.62	3.4	2.62	0	1	0	0	0	148	0	0	0	0
Australia	129	1998	1	0	0	0	0	0	1	1	148	1.1744	3.46	1.91	3.46	2.48	0.7	2.48	0	1	0	0	0	148	0	0	0	0
Austria	101	1949	1	0	0	0	0	0	1	6.6	25	1.14368	2.78	0.5	2.78	2.54	0	2.54	0	NA	0	0	0	165	21	12.73	0	0
Austria	101	1953	1	0	0	0	0	0	1	6.6	25	1.14368	2.76	0.4	2.76	2.48	0	2.48	2.93	NA	0	0.33	0	165	24	14.55	0	0
Austria	101	1956	1	0	0	0	0	0	1	6.6	25	1.14368	2.48	0.1	2.48	2.23	0	2.23	2.93	NA	0	0.67	0	165	18	10.91	0	0
Austria	101	1959	1	0	0	0	0	0	1	6.6	25	1.14368	2.48	0.1	2.48	2.2	0	2.2	2	NA	0	0.33	0	165	20	12.12	0	0
Austria	101	1962	1	0	0	0	0	0	1	6.6	25	1.14368	2.47	0.5	2.47	2.19	0	2.19	2	NA	0	0.67	0	165	17	10.3	0	0
Austria	101	1966	1	0	0	0	0	0	1	6.6	25	1.14368	2.39	0	2.39	2.14	0	2.14	2	NA	0	0.67	0	165	14	8.48	0	0
Austria	101	1970	1	0	0	0	0	0	1	6.6	25	1.14368	2.29	0	2.29	2.12	0	2.12	2	23	0	0.67	0	165	14	8.48	0	0
Austria	101	1971	1	1	0	0	0	0	1	20.33	9	1.14368	2.28	0	2.28	2.21	0	2.21	1.99	27	0	1	1	183	16	8.74	0	0
Austria	101	1975	1	0	0	0	0	0	1	20.33	9	1.14368	2.27	0	2.27	2.21	0	2.21	2	29	0	0.67	0	183	12	6.56	0	0
Austria	101	1979	1	0	0	0	0	0	1	20.33	9	1.14368	2.28	0	2.28	2.22	0	2.22	2	29	0	0.67	0	183	14	7.65	0	0
Austria	101	1983	1	0	0	0	0	0	1	20.33	9	1.14368	2.4	0.2	2.4	2.26	0	2.26	1.5	28	0	0	0	183	19	10.38	0	0
Austria	101	1986	1	1	0	0	1	0	1	20.33	9	1.14368	2.72	0.3	2.72	2.63	0	2.63	2.27	29	0	1	1	183	21	11.48	0	0
Austria	101	1990	1	0	0	0	0	0	1	20.33	9	1.14368	3.17	0.5	3.17	2.99	0	2.99	2.27	28	0	0.33	0	183	25	13.66	0	0
Austria	101	1994	1	0	0	0	0	0	1	4.26	43	1.14368	3.87	0	3.87	3.73	0	3.73	2.99	3	0	0.33	0	183	92	50.27	0	0
Austria	101	1995	1	0	0	0	0	1	1	4.26	43	1.14368	3.59	0	3.59	3.49	0	3.49	2.99	5	0	0	0	183	86	46.99	0	0
Austria	101	1999	1	0	0	0	0	0	1	4.26	43	1.14368	3.82	0	3.82	3.41	0	3.41	2.26	5	0	0.66	0	183	84	45.9	0	0
Bahamas, The	49	1977	1	0	0	0	0	0	1	1	38	NA	2.52	2.7	2.52	1.53	0	1.53	0	1	1	0	0	38	0	0	0	0
Bahamas, The	49	1982	1	0	0	0	0	0	1	1	43	NA	2.03	1.7	2.03	1.62	0	1.62	0	1	0	0	0	43	0	0	0	0
Bahamas, The	49	1987	1	0	0	0	1	0	1	1	49	NA	2.11	3.1	2.11	1.96	4.1	1.97	0	1	0	0	0	49	0	0	0	0
Bahamas, The	49	1992	1	0	0	0	0	0	1	1	49	NA	1.99	0	1.99	1.79	0	1.79	0	1	0	0	0	49	0	0	0	0
Bahamas, The	49	1997	1	0	0	0	0	1	1	1	40	NA	NA	NA	NA	1.34	0	1.34	0	1	0	0	0	40	0	0	0	0
Bangladesh	78	1991	1	0	0	0	0	0	0	1	300	1.28758	4.61	4.39	4.65	3.11	1	3.11	0	1	1	0	0	300	0	0	0	0
Bangladesh	78	1996	1	0	0	0	0	1	0	1	300	1.28758	NA	NA	NA	1.16	3.3	NA	0	1	0	0	0	300	0	0	1	1
Bangladesh	78	1996	1	0	0	0	0	0	0	1	300	1.28758	3.48	1.06	3.48	2.51	0.3	2.51	0	1	0	0	0	300	0	0	1	0
Barbados	50	1966	1	0	0	0	0	0	1	2	12	NA	2.72	7.3	2.76	2.18	8.3	2.2	0	2	1	0	0	24	0	0	0	0
Barbados	50	1971	1	0	0	0	0	0	1	1	24	NA	1.96	0.2	1.96	1.6	0	1.6	0	1	0	0	0	24	0	0	0	0
Barbados	50	1976	1	0	0	0	0	0	1	1	24	NA	2.03	0.3	2.03	1.7	0	1.7	0	1	0	0	0	24	0	0	0	0
Barbados	50	1981	1	0	0	0	0	0	1	1	27	NA	2.02	0.7	2.02	1.87	0	1.87	0	1	0	0	0	27	0	0	0	0
Barbados	50	1986	1	0	0	0	1	0	1	1	27	NA	1.93	0.2	1.93	1.25	0	1.25	0	1	0	0	0	27	0	0	0	0
Barbados	50	1991	1	0	0	0	0	0	1	1	28	NA	2.29	0.4	2.29	1.85	0	1.85	0	1	0	0	0	28	0	0	0	0
Barbados	50	1994	1	0	0	0	0	1	1	1	28	NA	2.48	0.4	2.48	1.84	0	1.84	0	1	0	0	0	28	0	0	0	0
Barbados	50	1999	1	0	0	0	0	0	1	1	28	NA	1.84	0	1.84	1.15	0	1.15	0	1	0	0	0	28	0	0	0	0
Belgium	102	1946	1	0	0	0	0	0	1	6.73	30	2.30947	3.28	0.5	3.28	2.91	0	2.91	0	6	0	0	0	202	NA	NA	0	0
Belgium	102	1949	1	0	0	0	0	0	1	7.1	30	2.30947	3.26	1.8	3.26	2.75	0	2.75	0	6	0	0	0	212	NA	NA	0	0
Belgium	102	1950	1	0	0	0	0	0	1	7.1	30	2.30947	2.76	0	2.76	2.5	0	2.5	0	6	0	0	0	212	NA	NA	0	0
Belgium	102	1954	1	0	0	0	0	0	1	7.1	30	2.30947	3.08	0.6	3.08	2.63	0	2.63	0	6	0	0	0	212	NA	NA	0	0
Belgium	102	1958	1	0	0	0	0	0	1	7.1	30	2.30947	2.79	0.7	2.79	2.45	0	2.45	0	6	0	0	0	212	NA	NA	0	0
Belgium	102	1961	1	0	0	0	0	0	1	7.1	30	2.30947	3.08	2.1	3.08	2.69	0.5	2.69	0	6	0	0	0	212	NA	NA	0	0
Belgium	102	1965	1	0	0	0	0	0	1	7.1	30	2.30947	3.96	2	3.96	3.59	0	3.59	0	7	0	0	0	212	NA	NA	0	0
Belgium	102	1968	1	0	0	0	0	0	1	7.1	30	2.30947	6.92	0.3	6.92	6.57	0	6.57	0	7	0	0	0	212	NA	NA	0	0
Belgium	102	1971	1	0	0	0	0	0	1	7.1	30	2.30947	6.41	0.7	6.42	5.89	0	5.89	0	7	0	0	0	212	NA	NA	0	0
Belgium	102	1974	1	0	0	0	0	0	1	7.1	30	2.30947	6.1	0.9	6.1	5.85	0	5.85	0	7	0	0	0	212	NA	NA	0	0
Belgium	102	1977	1	0	0	0	0	0	1	7.1	30	2.30947	5.7	0.2	5.7	5.26	0	5.26	0	7	0	0	0	212	NA	NA	0	0
Belgium	102	1978	1	0	0	0	0	0	1	7.1	30	2.30947	7.52	0.4	7.52	6.79	0	6.79	0	7	0	0	0	212	NA	NA	0	0
Belgium	102	1981	1	0	0	0	0	0	1	7.1	30	2.30947	8.99	1	9	7.63	0	7.63	0	7	0	0	0	212	NA	NA	0	0
Belgium	102	1985	1	0	0	0	1	0	1	7.1	30	2.30947	8.13	1.2	8.14	7.01	0	7.01	0	8	0	0	0	212	NA	NA	0	0
Belgium	102	1987	1	0	0	0	0	0	1	7.1	30	2.30947	8.12	0.4	8.12	7.13	0	7.13	0	8	0	0	0	212	NA	NA	0	0
Belgium	102	1991	1	0	0	0	0	0	1	7.1	30	2.30947	9.81	0.5	9.81	8.41	0	8.41	0	8	0	0	0	212	NA	NA	0	0
Belgium	102	1995	1	0	0	0	0	1	1	7.5	20	2.30947	9.35	0.7	9.35	8.05	0	8.05	0	9	0	0	0	150	NA	NA	0	0
Belgium	102	1999	1	0	0	0	0	0	1	7.5	20	2.30947	10.29	0	10.29	9.05	0	9.05	0	9	0	0	0	150	NA	NA	0	0
Belize	51	1984	1	0	0	0	1	0	1	1	28	NA	2.06	0.4	2.06	1.6	0	1.6	0	1	1	0	0	28	0	0	0	0
Belize	51	1989	1	0	0	0	0	0	1	1	28	NA	2.07	0.1	2.07	1.99	0	1.99	0	1	0	0	0	28	0	0	0	0
Belize	51	1993	1	0	0	0	0	1	1	1	29	NA	2.03	0.1	2.03	1.98	0	1.98	0	1	0	0	0	29	0	0	0	0
Belize	51	1998	1	0	0	0	0	0	1	1	29	NA	1.98	0.4	1.98	1.23	0	1.23	0	1	0	0	0	29	0	0	0	0
Benin	3	1991	1	1	0	0	0	0	0	10.67	6	2.64745	9.62	0	9.62	8.76	0	8.76	4.29	11	1	1	1	64	0	0	0	0
Benin	3	1995	1	0	0	0	0	1	0	4.67	18	2.64745	13.77	4.6	14.125	6.69	0	6.69	4.29	5	0	0.6	0	84	0	0	0	0
Benin	3	1999	1	0	0	0	0	0	0	3.5	24	2.64745	3.91	41.17	10.38	4.81	23.8	6.28	3.48	4	0	0.2	0	84	0	0	0	0
Bolivia	67	1979	1	1	0	0	0	0	1	13	9	3.89712	3.5	0	3.5	3.3	0	3.3	3.5	NA	1	1	1	117	0	0	0	0
Bolivia	67	1980	1	1	1	0	0	0	1	14.44	9	3.89712	4.35	0	4.35	4.13	0	4.13	4.35	17.5	0	1	1	130	0	0	0	0
Bolivia	67	1985	1	1	0	0	1	0	1	14.44	9	3.89712	4.53	5.12	4.585	4.31	0	4.31	4.53	17.5	1	1	1	130	0	0	0	0
Bolivia	67	1989	1	1	0	0	0	0	1	14.44	9	3.89712	5.01	0	5.01	3.92	0	3.92	5	17.5	0	1	1	130	0	0	0	0
Bolivia	67	1993	1	1	0	0	0	1	1	14.44	9	3.89712	4.66	1.64	4.665	3.74	0	3.74	4.66	NA	0	1	1	130	0	0	0	0
Bolivia	67	1997	1	1	0	0	0	0	1	1	68	3.89712	5.92	0.48	5.92	5.36	0	5.36	5.92	1	0	1	1	130	62	47.69	0	0
Brazil	68	1947	1	0	0	0	0	0	1	13	22	2.21976	3.59	0	3.59	2.65	NA	NA	2.3	NA	0	0.2	0	286	0	0	0	0
Brazil	68	1950	1	1	0	0	0	0	1	12.16	25	2.21976	7.11	0	7.11	4.11	0	4.11	2.68	NA	0	1	1	304	0	0	0	0
Brazil	68	1954	1	0	0	0	0	0	1	13.04	25	2.21976	8.69	0	8.69	4.59	1.8	4.59	2.68	NA	0	0.6	0	326	0	0	0	0
Brazil	68	1958	1	0	0	0	0	0	1	13.04	25	2.21976	9.82	0	9.82	3.64	23	4.49	2.97	NA	0	0.2	0	326	0	0	0	0
Brazil	68	1962	1	0	0	0	0	0	1	15.56	25	2.21976	11.17	0	11.17	4.05	16.5	4.56	2.65	NA	0	0.2	0	389	0	0	0	0
Brazil	68	1982	1	0	0	0	0	0	1	19.16	25	2.21976	2.65	0	2.65	2.39	0	2.39	0	32	1	0	0	479	0	0	0	0
Brazil	68	1986	1	0	0	0	1	0	1	18.73	26	2.21976	3.55	1.52	3.555	2.83	0	2.83	0	30	0	0	0	487	0	0	0	0
Brazil	68	1990	1	0	0	0	0	0	1	18.63	27	2.21976	9.79	0.76	9.79	8.69	0	8.69	5.69	30	0	0.6	0	503	0	0	0	0
Brazil	68	1994	1	1	0	0	0	1	1	19	27	2.21976	8.53	0.15	8.53	8.16	0	8.16	2.65	30	0	1	1	513	0	0	0	0
Brazil	68	1998	1	1	0	0	0	0	1	19	27	2.21976	8.14	1.14	8.14	7.11	0	7.11	2.53	30	0	1	1	513	0	0	0	0
Bulgaria	103	1990	1	0	0	0	0	0	0	1	200	1.42752	2.75	0.72	2.75	2.42	0.5	2.42	0	1	1	0	0	400	200	50	0	0
Bulgaria	103	1991	1	0	0	0	0	0	0	7.74	31	1.42752	4.12	6.44	4.185	2.41	0	2.41	0	NA	0	0	0	240	0	0	0	0
Bulgaria	103	1994	1	0	0	0	0	1	0	7.74	31	1.42752	3.81	5.18	3.845	2.73	0	2.73	3.11	NA	0	0	0	240	0	0	0	0
Bulgaria	103	1997	1	0	0	0	0	0	0	7.74	31	1.42752	3.02	3.97	3.03	2.52	0	2.52	3.16	NA	0	0.6	0	240	0	0	0	0
Canada	52	1949	1	0	0	0	0	0	1	1	262	2.47733	2.83	3.1	2.835	1.75	1.9	1.75	0	1	0	0	0	262	0	0	0	0
Canada	52	1953	1	0	0	0	0	0	1	1	265	2.47733	2.85	2.5	2.855	2.15	1.9	2.16	0	1	0	0	0	265	0	0	0	0
Canada	52	1957	1	0	0	0	0	0	1	1	265	2.47733	2.98	2.7	2.99	2.86	1.5	2.86	0	1	0	0	0	265	0	0	0	0
Canada	52	1958	1	0	0	0	0	0	1	1	265	2.47733	2.44	0.6	2.44	1.54	0	1.54	0	1	0	0	0	265	0	0	0	0
Canada	52	1962	1	0	0	0	0	0	1	1	265	2.47733	3.23	0.3	3.23	2.84	0	2.84	0	1	0	0	0	265	0	0	0	0
Canada	52	1963	1	0	0	0	0	0	1	1	265	2.47733	3.2	0.3	3.2	2.65	0	2.65	0	1	0	0	0	265	0	0	0	0
Canada	52	1965	1	0	0	0	0	0	1	1	265	2.47733	3.31	1.1	3.31	2.59	0.8	2.59	0	1	0	0	0	265	0	0	0	0
Canada	52	1968	1	0	0	0	0	0	1	1	264	2.47733	2.97	0.8	2.97	2.33	0.4	2.33	0	1	0	0	0	264	0	0	0	0
Canada	52	1972	1	0	0	0	0	0	1	1	264	2.47733	3.25	1.1	3.25	2.84	0.8	2.84	0	1	0	0	0	264	0	0	0	0
Canada	52	1974	1	0	0	0	0	0	1	1	264	2.47733	2.96	0.8	2.96	2.38	0.4	2.38	0	1	0	0	0	264	0	0	0	0
Canada	52	1979	1	0	0	0	0	0	1	1	282	2.47733	3.09	0.9	3.09	2.45	0	2.45	0	1	0	0	0	282	0	0	0	0
Canada	52	1980	1	0	0	0	0	0	1	1	282	2.47733	2.93	0.7	2.93	2.4	0	2.4	0	1	0	0	0	282	0	0	0	0
Canada	52	1984	1	0	0	0	1	0	1	1	282	2.47733	2.75	0.7	2.75	1.69	0.4	1.69	0	1	0	0	0	282	0	0	0	0
Canada	52	1988	1	0	0	0	0	0	1	1	295	2.47733	3.04	1.4	3.04	2.33	0	2.33	0	1	0	0	0	295	0	0	0	0
Canada	52	1993	1	0	0	0	0	1	1	1	295	2.47733	3.92	3.6	3.93	2.35	0	2.35	0	1	0	0	0	295	0	0	0	0
Canada	52	1997	1	0	0	0	0	1	1	1	301	2.47733	4.08	1.6	4.085	2.98	0.3	2.98	0	1	0	0	0	301	0	0	0	0
Canada	52	2000	1	0	0	0	0	0	1	1	301	2.47733	3.77	1.5	3.77	2.54	0	2.54	0	1	0	0	0	301	0	0	0	0
Cape Verde	8	1991	1	1	0	0	0	0	0	3.16	25	NA	1.81	0	1.81	1.7	0	1.7	1.64	5	1	1	1	79	0	0	0	0
Cape Verde	8	1995	1	0	0	0	0	1	0	3.79	19	NA	2.13	0	2.13	1.76	0	1.76	1.64	4	0	0.6	0	72	0	0	0	0
Central African Republic	9	1993	1	1	0	0	0	1	0	1	85	4.77669	NA	NA	NA	4.74	5.9	4.76	4.12	1	1	1	1	85	0	0	0	0
Central African Republic	9	1998	1	0	0	0	0	0	0	1	109	4.77669	4.19	6	4.25	4.18	6.4	4.25	4.12	1	0	0.67	0	109	0	0	0	0
Chile	69	1949	1	0	0	0	0	0	1	5.25	28	1.98807	7.05	0	7.05	6.04	2	6.05	1.97	NA	0	0	0	147	0	0	0	0
Chile	69	1953	1	0	0	0	0	0	1	5.25	28	1.98807	11.56	4.9	11.88	9.02	0.7	9.02	2.95	NA	0	0.67	0	147	0	0	0	0
Chile	69	1957	1	0	0	0	0	0	1	5.25	28	1.98807	8.59	2	8.62	6.74	1.4	6.75	2.95	NA	0	0.67	0	147	0	0	0	0
Chile	69	1961	1	0	0	0	0	0	1	5.25	28	1.98807	6.44	0.2	6.44	5.9	0	5.9	3.97	6	0	0	0	147	0	0	0	0
Chile	69	1965	1	0	0	0	0	0	1	5.25	28	1.98807	4.06	0.2	4.06	2.8	0	2.8	2.14	NA	0	0.67	0	147	0	0	0	0
Chile	69	1969	1	0	0	0	0	0	1	5.36	28	1.98807	4.92	0.1	4.92	4.09	0	4.09	2.14	NA	0	0.67	0	150	0	0	0	0
Chile	69	1973	1	0	1	0	0	0	1	5.24	29	1.98807	5.3	0	5.3	5.12	5.1	5.18	2.96	NA	0	0.67	0	152	0	0	0	0
Chile	69	1993	1	1	0	0	0	1	0	2	60	1.98807	6.55	0	6.55	4.86	0	4.86	2.47	2	1	1	1	120	0	0	0	0
Chile	69	1997	1	0	0	0	0	0	0	2	60	1.98807	6.95	0	6.95	5.02	0	5.02	2.47	2	0	0.33	0	120	0	0	0	0
Colombia	70	1947	1	0	0	0	0	0	1	NA	NA	2.90698	2.01	0	2.01	1.97	0	1.97	2.9	NA	0	0.33	0	131	0	0	0	0
Colombia	70	1949	1	1	1	0	0	0	1	NA	NA	2.90698	2.01	0	2.01	2	0	2	NA	NA	0	1	1	132	0	0	0	0
Colombia	70	1958	1	1	0	0	0	0	1	NA	NA	2.90698	2.43	0.9	2.43	2.65	0	2.65	1.47	NA	1	1	1	146	NA	NA	0	0
Colombia	70	1960	1	0	0	0	0	0	1	NA	NA	2.90698	3.44	0.1	3.44	3.56	0	3.56	1.47	NA	0	0	0	150	NA	NA	0	0
Colombia	70	1962	1	1	0	0	0	0	1	NA	NA	2.90698	3.96	0.3	3.96	4.02	0	4.02	2.18	NA	0	1	1	184	NA	NA	0	0
Colombia	70	1964	1	0	0	0	0	0	1	NA	NA	2.90698	3.76	1	3.76	3.75	0	3.75	2.18	NA	0	0	0	184	NA	NA	0	0
Colombia	70	1966	1	1	0	0	0	0	1	NA	NA	2.90698	4.45	0.8	4.45	4.43	0	4.43	1.68	NA	0	1	1	190	NA	NA	0	0
Colombia	70	1968	1	0	0	0	0	0	1	NA	NA	2.90698	4.12	0.8	4.12	4.24	0	4.24	1.68	NA	0	0	0	204	NA	NA	0	0
Colombia	70	1970	1	1	0	0	0	0	1	NA	NA	2.90698	5.88	2.5	5.9	5.91	0	5.91	2.95	NA	0	1	1	210	NA	NA	0	0
Colombia	70	1974	1	1	0	0	0	0	1	7.65	26	2.90698	2.37	0	2.37	2.29	0	2.29	2.35	NA	0	1	1	199	0	0	0	0
Colombia	70	1978	1	1	0	0	0	0	1	7.65	26	2.90698	2.17	1.19	2.17	2.06	0	2.06	2.16	NA	0	1	1	199	0	0	0	0
Colombia	70	1982	1	1	0	0	0	0	1	7.65	26	2.90698	2.08	0.94	2.08	1.98	0	1.98	2.5	NA	0	1	1	199	0	0	0	0
Colombia	70	1986	1	1	0	0	1	0	1	7.65	26	2.90698	2.66	6.44	2.685	2.45	5.5	2.47	2.1	8	0	1	1	199	0	0	0	0
Colombia	70	1990	1	1	0	0	0	0	1	7.65	26	2.90698	2.2	7.05	2.23	2.17	7	2.2	3.04	9	0	1	1	199	0	0	0	0
Colombia	70	1991	1	0	0	0	0	0	1	4.88	33	2.90698	3.3	4.78	3.33	2.99	2.5	3	3.04	6	0	0.5	0	161	0	0	0	0
Colombia	70	1994	1	1	0	0	0	1	1	4.88	33	2.90698	2.64	6.64	2.67	2.75	7.4	2.79	2.41	6	0	1	1	161	0	0	0	0
Colombia	70	1998	1	1	0	0	0	0	1	4.88	33	2.90698	3.5	17.25	3.9	3.16	4.4	3.18	3.14	6	0	1	1	161	0	0	0	0
Comoros	11	1992	1	0	0	0	0	0	0	1	42	NA	14.89	12	17.37	5.29	33.3	11.7	6.12	1	1	0.33	0	42	0	0	0	0
